Point ID,Laser X,Laser Y,Laser Z,Robot X,Robot Y,Robot Z,Robot Rot X,Robot Rot Y,Robot Rot Z
1,1695.0588,116.333,0.5635,-807.45,383.64,519.35,46.06,-9.02,-130.69
2,2076.9814,552.0148,271.2795,-435,822.24,842.31,140.95,114.56,-51.96
3,2644.7026,-175.0121,908.4689,128.58,65.66,1456.35,225.71,137.53,50.13
4,2092.3083,-694.4872,102.2265,-421.43,-418.27,617.92,15.08,14.36,-104.25
5,2750.355,-130.3432,567.8845,244.11,123.92,1098.6,219.43,178.3,-119.78
6,2919.4978,-464.146,-33.3678,397.15,-179.69,491.24,27.81,13.78,1.05
7,2726.8481,-658.2134,-756.5172,244.59,-370.88,-208.85,105.61,-5.55,-93.11
8,2402.1282,-1335.1064,-1.9498,-77.19,-1069.38,540.64,40.54,-85.33,-50.6
9,2849.7041,-785.6604,809.8536,352.2,-523.58,1341.43,91.3,290.44,4.42
10,2669.8286,-434.6356,137.9237,168.18,-157.74,662.01,22.95,-30.2,-21.81
11,2559.7349,-157.5495,67.2022,54.41,130.27,596.74,53.51,-14.87,-39.5
12,2430.2034,208.4936,-103.6856,-69.18,473.9,423.85,3.68,-47.5,-17.19
13,2973.9563,-335.1797,125.7718,460.58,-61.86,647.83,9.83,-9.29,-124.86
14,3154.5054,-617.1417,-15.9284,637,-360.82,514.44,21.8,73.16,177.65
15,3166.6885,-733.5925,87.6787,644.63,-462.13,666.17,152.47,-128.83,15.41
16,3020.6357,-901.1506,-432.0745,510.54,-620.76,146.16,120.86,-131.52,18.09
17,2854.2249,-698.3199,-962.4117,372.69,-434.49,-401.75,102.1,-96.14,-85.88
18,2603.6021,410.3817,-749.3869,99.59,704.3,-185.03,126.26,20.77,-49.46
19,2682.3757,132.2984,27.3898,161.27,396.95,604.9,185.36,57.11,4.47
20,2121.604,-54.4999,136.8207,-395.81,214.94,652.66,7.97,2.49,-129.66
21,2097.0769,-96.4808,-484.1398,-388.06,174.03,58.87,92.86,-46.89,-90.58
22,1795.078,198.9793,-383.5437,-709.08,462.58,133.75,31.28,-17.3,-140.23
23,2069.1714,-661.6475,-287.7298,-443.7,-396.97,283.57,0.38,-186.12,-1.33
24,2118.5525,91.5886,-797.6946,-392.41,331.23,-254.89,20.58,-131.16,-137.08
25,2603.439,361.7536,-1046.8285,95.1,608.85,-508.47,39.57,-106.89,-165.48
26,2466.4417,410.1417,599.8441,-31.78,679.97,1149.4,118.55,152.6,-140.64
27,2829.9375,-526.0594,403.336,332.33,-234.69,952.59,2.82,-98.32,70.46
28,2986.2661,-683.1613,-266.7698,495.35,-388.75,282.92,35.49,-85.96,38.49
29,3583.646,-263.8436,268.6153,1074.72,12.55,798.26,48.08,113.07,-279.15
30,3808.6472,-215.1102,-76.9578,1294.21,65.8,453.07,1.1,-5.97,54.02
31,3461.3386,592.9154,-92.7001,941.45,872.92,437.05,2.45,-9.93,93.85
32,2932.2729,223.0614,364.3416,430.83,510.64,909.25,26.86,171.82,-170.9
33,3321.1758,-122.8517,72.6648,799.76,157.33,598.3,14.21,-0.24,58.06
34,3184.9941,-510.4335,307.4901,667.2,-237.24,830.39,0.96,-0.66,24.88
35,2358.4709,-84.3949,156.5504,-132.34,180.37,698.73,116.94,199.9,-129.33
36,2243.0361,-178.8956,249.9396,-247.63,90.6,789.32,101.97,167.42,-161.3
37,2610.6775,424.1781,213.3738,101.49,687.72,738.71,68.28,8.41,-227.66
38,3226.8401,449.6233,-332.5874,709.59,750.86,235.46,119.68,0.52,-11.24
39,2958.6758,463.061,-943.7195,444.53,761.71,-407.49,52,21.48,-54.41
40,2672.3096,-1202.0552,300.4233,159.65,-917.62,872.15,46.96,-164.93,45.03
41,2001.5624,-966.1672,533.1931,-492.67,-681.28,1067.7,13.15,164.95,-171.62
42,1695.9468,-381.5138,382.9189,-802.92,-119.4,945.12,105.85,181.18,-46.17
43,1853.0223,-1045.0366,300.6942,-657.86,-777.97,869.54,28.81,176.95,-13.88
44,2607.5012,-1186.298,-506.9583,97.72,-934.73,58.83,37.39,-185.34,-69.27
45,2531.7307,-1000.8359,-718.9919,22.47,-736.42,-145.66,29.1,-190.02,-17.43
46,3144.7356,-867.3994,-614.8571,636.28,-593.29,-35.01,102.51,-157.77,-0.68
47,2600.1812,-1346.0845,-187.7142,94,-1045.68,360.18,34.19,-111.9,109.42
48,2811.5374,-543.8394,-901.0807,311.22,-296.65,-357.5,45.63,-119.31,-146.88
49,2860.3623,-67.3747,-902.3824,377.5,205.61,-357.18,81.51,-52.88,-101.5
50,2750.5881,197.1106,-392.3386,252.3,482.5,175.64,136.78,-24.47,-49.6
51,2624.4451,302.2272,402.9791,126.84,581.1,953.12,99.78,-33.75,-79.27
52,3304.9353,-45.0071,591.79,770.91,204.18,1155.97,239.99,-78.65,9.55
53,3545.2026,-680.0736,231.0367,1016.24,-425.93,775.98,240.56,-163.15,-36.83
54,3338.7595,-636.8088,-275.272,842.79,-336.81,286.04,90.23,-62.51,1.01
55,3271.0012,-885.4282,112.6298,779.38,-590.54,661.59,26.86,-82.98,43.13
56,2515.623,-212.6672,882.3144,14.27,71.62,1433.21,86.07,129.13,-133.95
57,2165.4204,193.6821,227.8698,-331.44,470.12,764.04,89.43,-1.04,-116.96
58,2754.2366,886.1212,84.9891,244.59,1168.94,618.87,42.91,82.21,-204.05
59,3489.3591,396.4949,82.5952,986.96,670.43,621.14,102.82,88.19,-225.73
60,1913.0001,-116.832,84.6264,-619.86,136.9,649.53,98.94,128.23,50.69